,length,median,mean
160,9660,0.2061886,0.09450183
161,9720,0.20817211,0.096021065
162,9780,0.211665002,0.097953854
163,9840,0.214779331,0.099973451
164,9900,0.218307598,0.101539974
165,9960,0.220797566,0.103003054
166,10020,0.222648774,0.104542094
167,10080,0.224851416,0.106240419
168,10140,0.226954091,0.10773933
169,10200,0.228622379,0.109538887
170,10260,0.230716037,0.110991988
171,10320,0.234079087,0.112734242
172,10380,0.23766221,0.114667848
173,10440,0.238865073,0.116426029
174,10500,0.242127392,0.117939125
175,10560,0.244625367,0.119825816
176,10620,0.247036319,0.121671714
177,10680,0.250278347,0.123166535
178,10740,0.253232756,0.125020427
179,10800,0.255645054,0.126984065
180,10860,0.258811595,0.128488753
181,10920,0.261330116,0.130098597
182,10980,0.264178103,0.131394901
183,11040,0.26636068,0.13295079
184,11100,0.269346703,0.134824553
185,11160,0.270638772,0.136591834
186,11220,0.272899291,0.138472731
187,11280,0.276506525,0.14014293
188,11340,0.278982775,0.142193107
189,11400,0.28180933,0.144590539
190,11460,0.283760205,0.146305918
191,11520,0.286170387,0.148503896
192,11580,0.288706786,0.151124226
193,11640,0.290829258,0.153575257
194,11700,0.293207318,0.155682792
195,11760,0.295877114,0.15769354
196,11820,0.298145492,0.159475162
197,11880,0.299394887,0.161533163
198,11940,0.300880328,0.162969715
199,12000,0.302165895,0.164529724
200,12060,0.304711112,0.166573244
201,12120,0.307592077,0.168569511
202,12180,0.310203107,0.17073819
203,12240,0.312553744,0.173269021
204,12300,0.315318541,0.175821849
205,12360,0.317531921,0.177773368
206,12420,0.318966969,0.179700819
207,12480,0.320179123,0.181661703
208,12540,0.322560261,0.183910325
209,12600,0.324695405,0.185811244
210,12660,0.326742946,0.187602829
211,12720,0.330192638,0.189904447
212,12780,0.331910668,0.192111245
213,12840,0.334304643,0.194502664
214,12900,0.336870763,0.196697535
215,12960,0.33853577,0.198940393
216,13020,0.341398335,0.200864401
217,13080,0.343114692,0.202539634
218,13140,0.344529003,0.203835418
219,13200,0.346869297,0.206102928
220,13260,0.348838967,0.207911592
221,13320,0.350263646,0.209777016
222,13380,0.351479824,0.211691629
223,13440,0.35323705,0.213335336
224,13500,0.354761516,0.215088499
225,13560,0.356821614,0.2170998
226,13620,0.358383211,0.218656686
227,13680,0.360790632,0.220403394
228,13740,0.362461298,0.222540279
229,13800,0.364993105,0.224207515
230,13860,0.366937177,0.225984346
231,13920,0.368925792,0.227802121
232,13980,0.371164336,0.229310092
233,14040,0.373267042,0.230775416
234,14100,0.374772034,0.231938564
235,14160,0.37561883,0.233237107
236,14220,0.377734529,0.235043544
237,14280,0.378936451,0.236737724
238,14340,0.380455387,0.23844935
239,14400,0.38116912,0.239485032
240,14460,0.383111903,0.240885845
241,14520,0.384615075,0.242533866
242,14580,0.385111993,0.243493741
243,14640,0.387291351,0.244721756
244,14700,0.388589416,0.245740667
245,14760,0.389560575,0.2468223
246,14820,0.390824186,0.248004068
247,14880,0.391207747,0.248933857
248,14940,0.392906722,0.249824256
249,15000,0.392734093,0.250662252
250,15060,0.393820944,0.251196795
251,15120,0.394174817,0.251740536
252,15180,0.39446398,0.252238913
253,15240,0.394571211,0.253188041
254,15300,0.394886088,0.253885498
255,15360,0.394795516,0.25487531
256,15420,0.395903703,0.255748461
257,15480,0.396782609,0.257116699
258,15540,0.397729317,0.258205591
259,15600,0.400116853,0.259714864
260,15660,0.401128286,0.260860691
261,15720,0.401941698,0.26216724
262,15780,0.403946502,0.264061133
263,15840,0.406563462,0.266182293
264,15900,0.408634461,0.267792302
265,15960,0.411264607,0.269860537
266,16020,0.413735521,0.271603505
267,16080,0.415435921,0.273153548
268,16140,0.417697422,0.274969061
269,16200,0.419514463,0.276670189
270,16260,0.421084122,0.277963464
271,16320,0.42368927,0.27978997
272,16380,0.425130867,0.281230025
273,16440,0.42718749,0.282499342
274,16500,0.42987359,0.284212834
275,16560,0.431351321,0.286052472
276,16620,0.434102582,0.287702451
277,16680,0.437001604,0.289834578
278,16740,0.439040646,0.291281654
279,16800,0.440038192,0.292424743
280,16860,0.441944642,0.293612305
281,16920,0.443715472,0.295015533
282,16980,0.445574053,0.296362999
283,17040,0.447838329,0.297693969
284,17100,0.449329158,0.299131511
285,17160,0.451314055,0.300560244
286,17220,0.452612547,0.302473969
287,17280,0.453241341,0.304523772
288,17340,0.454715216,0.306354807
289,17400,0.455801537,0.308154846
290,17460,0.457549279,0.31011896
291,17520,0.458340227,0.311423386
292,17580,0.459561411,0.312481813
293,17640,0.46141562,0.313810017
294,17700,0.463089024,0.315313975
295,17760,0.463400666,0.316218461
296,17820,0.464659908,0.316900947
297,17880,0.464438311,0.31738927
298,17940,0.465242007,0.318355955
299,18000,0.465480829,0.31901736
300,18060,0.464905253,0.319949294
301,18120,0.46557782,0.321059189
302,18180,0.468032627,0.322511673
303,18240,0.469625723,0.324179124
304,18300,0.470546478,0.325341452
305,18360,0.472240426,0.326944769
306,18420,0.473196834,0.328348223
307,18480,0.475473819,0.329782637
308,18540,0.477154134,0.331319136
309,18600,0.478530124,0.332966491
310,18660,0.480296299,0.334682808
311,18720,0.481603417,0.336546238
312,18780,0.482575501,0.338000093
313,18840,0.482990483,0.338813651
314,18900,0.485328051,0.340120026
315,18960,0.486142212,0.341322368
316,19020,0.486147507,0.342112539
317,19080,0.486034196,0.342517502
318,19140,0.486742411,0.342717342
319,19200,0.487728267,0.343665301
320,19260,0.487381301,0.344473817
321,19320,0.487639016,0.345302861
322,19380,0.489312026,0.346482681
323,19440,0.489801979,0.34715886
324,19500,0.489707792,0.347573959
325,19560,0.491662996,0.348787727
326,19620,0.493538272,0.35016703
327,19680,0.494065304,0.350946958
328,19740,0.494467597,0.351876699
329,19800,0.494682281,0.352876572
330,19860,0.495022799,0.353800275
331,19920,0.496660767,0.354790317
332,19980,0.496258706,0.355533952
333,20040,0.496235636,0.356349253
334,20100,0.495397161,0.356786745
335,20160,0.495170822,0.357267512
336,20220,0.494217991,0.35804292
337,20280,0.494657622,0.359074109
338,20340,0.493849284,0.359568378
339,20400,0.493705387,0.359939435
340,20460,0.493311616,0.360648857
341,20520,0.493072475,0.361097793
342,20580,0.492521921,0.361665561
343,20640,0.492033056,0.362100198
344,20700,0.493266656,0.363107849
345,20760,0.495609847,0.36465685
346,20820,0.497061783,0.366095159
347,20880,0.498891298,0.367340329
348,20940,0.500258193,0.368709711
349,21000,0.501475456,0.369890878
350,21060,0.502546967,0.371145984
351,21120,0.504854886,0.372410555
352,21180,0.505307253,0.373501953
353,21240,0.50522406,0.374487269
354,21300,0.505347937,0.375502062
355,21360,0.50788453,0.377170891
356,21420,0.509279234,0.378564757
357,21480,0.510680428,0.379398714
358,21540,0.510922939,0.380555232
359,21600,0.511425818,0.381459886
360,21660,0.512532776,0.382776846
361,21720,0.513292084,0.383591529
362,21780,0.514652439,0.384234994
363,21840,0.514987301,0.385329372
364,21900,0.514814423,0.385873278
365,21960,0.514709369,0.386534952
366,22020,0.515128956,0.38747813
367,22080,0.514672347,0.388160682
368,22140,0.515149343,0.388963545
369,22200,0.516056295,0.389769105
370,22260,0.516404263,0.390445891
371,22320,0.517573397,0.391275345
372,22380,0.518212411,0.392241624
373,22440,0.517783118,0.393258008
374,22500,0.518262452,0.394376486
375,22560,0.518854908,0.395350155
376,22620,0.519180305,0.39638312
377,22680,0.521614299,0.397731113
378,22740,0.522510593,0.399178111
379,22800,0.524348546,0.400778328
380,22860,0.525709472,0.402537001
381,22920,0.527689116,0.404282727
382,22980,0.52906645,0.406178894
383,23040,0.530127881,0.408282268
384,23100,0.531272712,0.410263748
385,23160,0.532762732,0.411536724
386,23220,0.534891229,0.412886165
387,23280,0.535754772,0.414053716
388,23340,0.537821873,0.41547365
389,23400,0.539413048,0.416861008
390,23460,0.539761364,0.417855076
391,23520,0.540341411,0.418665188
392,23580,0.539791699,0.419393763
393,23640,0.540559936,0.420380066
394,23700,0.542635339,0.421810425
395,23760,0.543950987,0.422787792
396,23820,0.545221836,0.424056499
397,23880,0.546874462,0.425727204
398,23940,0.548686047,0.427424662
399,24000,0.54966835,0.428429962
400,24060,0.550411118,0.429516496
401,24120,0.551352703,0.430488872
402,24180,0.552600041,0.431238759
403,24240,0.553525422,0.431908519
404,24300,0.553329397,0.432484742
405,24360,0.554018358,0.433111503
406,24420,0.554757805,0.433818731
407,24480,0.5544401,0.434812101
408,24540,0.553883189,0.435787662
409,24600,0.554120603,0.436916769
410,24660,0.554127934,0.437555408
411,24720,0.556723307,0.438902634
412,24780,0.559201134,0.440201234
413,24840,0.560926195,0.441749096
414,24900,0.563236575,0.443506825
415,24960,0.565917534,0.445140108
416,25020,0.567479221,0.446714118
417,25080,0.568159543,0.447613381
418,25140,0.571392097,0.448836096
419,25200,0.57343816,0.450316776
420,25260,0.573576374,0.451387168
421,25320,0.574765608,0.452358913
422,25380,0.574198731,0.45317217
423,25440,0.574514314,0.453689509
424,25500,0.574449275,0.453947557
425,25560,0.573323078,0.454231402
426,25620,0.573438528,0.454778274
427,25680,0.573724448,0.455299482
428,25740,0.575328946,0.456701584
429,25800,0.57590582,0.457339176
430,25860,0.576386033,0.457453092
431,25920,0.576705876,0.457515852
432,25980,0.577298541,0.457234777
433,26040,0.577976814,0.457236317
434,26100,0.577105127,0.457109269
435,26160,0.577321177,0.456866494
436,26220,0.577779619,0.456784275
437,26280,0.578924237,0.457372674
438,26340,0.579855523,0.458198713
439,26400,0.580288641,0.458714426
440,26460,0.581328227,0.45906752
441,26520,0.582282395,0.459133053
442,26580,0.582011714,0.459070589
443,26640,0.582036942,0.458929885
444,26700,0.581923043,0.459177007
445,26760,0.582500442,0.458980955
446,26820,0.583304589,0.459020252
447,26880,0.584021664,0.459292889
448,26940,0.584080879,0.459603187
449,27000,0.585325864,0.459953714
450,27060,0.586027099,0.460682889
451,27120,0.586615548,0.460841926
452,27180,0.586794211,0.461036987
453,27240,0.587560905,0.46137687
454,27300,0.588017532,0.462347124
455,27360,0.588701588,0.462812725
456,27420,0.588695234,0.463984363
457,27480,0.588715081,0.464720248
458,27540,0.589477432,0.465792759
459,27600,0.590097212,0.466752848
460,27660,0.592131529,0.468214677
461,27720,0.594499029,0.469696951
462,27780,0.596599853,0.470861083
463,27840,0.597239897,0.471617527
464,27900,0.597353283,0.472326486
465,27960,0.598140852,0.473351361
466,28020,0.598374087,0.473926099
467,28080,0.598486982,0.474096412
468,28140,0.598581798,0.474062619
469,28200,0.5989985,0.473742527
470,28260,0.598454205,0.47350134
471,28320,0.598754353,0.473354738
472,28380,0.598736483,0.473700494
473,28440,0.599447355,0.474790124
474,28500,0.601089544,0.475052406
475,28560,0.601790814,0.475702582
476,28620,0.602406762,0.476409492
477,28680,0.603594126,0.477162437
478,28740,0.603767671,0.478150571
479,28800,0.604997353,0.479328897
480,28860,0.606201223,0.480596927
481,28920,0.608125289,0.481925239
482,28980,0.607878031,0.482997494
483,29040,0.609420816,0.484475284
484,29100,0.609694845,0.485250335
485,29160,0.609513128,0.486144334
486,29220,0.60996444,0.487109134
487,29280,0.611588354,0.488636267
488,29340,0.612245812,0.48951521
489,29400,0.614296212,0.49072426
490,29460,0.615783527,0.492111781
491,29520,0.617450216,0.493545046
492,29580,0.618973232,0.494723716
493,29640,0.620706448,0.495575953
494,29700,0.623219284,0.497082172
495,29760,0.624943067,0.498507678
496,29820,0.627478933,0.50003289
497,29880,0.627800115,0.500949913
498,29940,0.627989167,0.501839399
499,30000,0.629012181,0.502807068
500,30060,0.62926884,0.503657532
501,30120,0.631614599,0.505225102
502,30180,0.632185333,0.506087083
503,30240,0.633525392,0.507060009
504,30300,0.635461759,0.508290016
505,30360,0.637976498,0.509609578
506,30420,0.639175305,0.510969961
507,30480,0.640976844,0.512438542
508,30540,0.643448513,0.51417915
509,30600,0.645526609,0.516082902
510,30660,0.647124047,0.517684168
511,30720,0.648298387,0.519603517
512,30780,0.649655192,0.521076837
513,30840,0.650440226,0.522190013
514,30900,0.650365302,0.523067228
515,30960,0.653232276,0.524335997
516,31020,0.654582159,0.525650798
517,31080,0.654768734,0.526563669
518,31140,0.656803623,0.527639251
519,31200,0.657779577,0.528659033
520,31260,0.659808289,0.530034732
521,31320,0.661270533,0.531603165
522,31380,0.662435016,0.533096962
523,31440,0.664545401,0.534736948
524,31500,0.666401935,0.535995827
525,31560,0.667103049,0.537045499
526,31620,0.666765246,0.537846935
527,31680,0.66956081,0.53937806
528,31740,0.671727401,0.541106329
529,31800,0.674280467,0.542545252
530,31860,0.676298769,0.544365009
531,31920,0.67853447,0.546374522
532,31980,0.681245645,0.548258399
533,32040,0.683050472,0.550453503
534,32100,0.684073948,0.552283275
535,32160,0.68600208,0.554042353
536,32220,0.687912396,0.556053159
537,32280,0.689706472,0.558200817
538,32340,0.691709613,0.56035575
539,32400,0.693677412,0.562591986
540,32460,0.69554844,0.564506634
541,32520,0.697375018,0.566550196
542,32580,0.698411796,0.568041677
543,32640,0.699912623,0.570042789
544,32700,0.70204742,0.571768014
545,32760,0.703735484,0.573190985
546,32820,0.70579699,0.574600002
547,32880,0.704703628,0.575428098
548,32940,0.706479591,0.576768715
549,33000,0.707893557,0.578494643
550,33060,0.710079163,0.58041297
551,33120,0.71147295,0.582214222
552,33180,0.712830207,0.583906418
553,33240,0.714363879,0.585889943
554,33300,0.715008333,0.588063119
555,33360,0.716583929,0.590230935
556,33420,0.718356968,0.592846323
557,33480,0.72024773,0.595491
558,33540,0.722224852,0.597596303
559,33600,0.724266096,0.599856419
560,33660,0.726233484,0.602412594
561,33720,0.728264403,0.604695629
562,33780,0.729929603,0.607063427
563,33840,0.731350621,0.609386015
564,33900,0.733569352,0.611803519
565,33960,0.73625091,0.614110555
566,34020,0.737901528,0.616317973
567,34080,0.739893294,0.618437706
568,34140,0.742587018,0.620583981
569,34200,0.744707458,0.62256432
570,34260,0.746349652,0.625154773
571,34320,0.748107883,0.62752271
572,34380,0.750094445,0.629385559
573,34440,0.753117542,0.6315363
574,34500,0.753633847,0.633446563
575,34560,0.755852438,0.635438615
576,34620,0.758044081,0.637419008
577,34680,0.759393074,0.639662436
578,34740,0.761140514,0.642122269
579,34800,0.763780559,0.644553521
580,34860,0.765717593,0.647322709
581,34920,0.767515913,0.649867962
582,34980,0.769535484,0.652528934
583,35040,0.771556847,0.655470287
584,35100,0.773959538,0.658403448
585,35160,0.775793242,0.661087763
586,35220,0.778226947,0.663729505
587,35280,0.780253954,0.665582864
588,35340,0.781676986,0.667153216
589,35400,0.782993934,0.668777664
590,35460,0.784136015,0.670533581
591,35520,0.785654129,0.672188242
592,35580,0.787302469,0.67391802
593,35640,0.790436298,0.675895399
594,35700,0.792357341,0.678251651
595,35760,0.794182648,0.680616728
596,35820,0.796205888,0.682657353
597,35880,0.797840069,0.684672506
598,35940,0.799305636,0.687061161
599,36000,0.80142513,0.689302677
600,36060,0.803853861,0.691619603
601,36120,0.806685655,0.694200502
602,36180,0.808703955,0.696334209
603,36240,0.810786561,0.698498785
604,36300,0.813413591,0.700864129
605,36360,0.815290894,0.703177697
606,36420,0.816457787,0.705713566
607,36480,0.819309224,0.708359104
608,36540,0.821818361,0.711377197
609,36600,0.823830269,0.714176764
610,36660,0.825907925,0.716765801
611,36720,0.828430935,0.719465308
612,36780,0.830727015,0.722461032
613,36840,0.833535337,0.725120931
614,36900,0.835662071,0.727361444
615,36960,0.837259297,0.72996452
616,37020,0.839249437,0.732848048
617,37080,0.840742441,0.736050545
618,37140,0.841979412,0.738887856
619,37200,0.843582585,0.742122052
620,37260,0.84599421,0.744956415
621,37320,0.848480971,0.747384175
622,37380,0.850651217,0.750358968
623,37440,0.85309958,0.753001453
624,37500,0.855113386,0.755309167
625,37560,0.857386598,0.757903594
626,37620,0.85939986,0.759521704
627,37680,0.861657472,0.761792737
628,37740,0.863742991,0.76404527
629,37800,0.865885328,0.766610979
630,37860,0.867838139,0.769482463
631,37920,0.871028294,0.7718549
632,37980,0.873017287,0.77391745
633,38040,0.875234018,0.775910628
634,38100,0.878150403,0.778379025
635,38160,0.880449129,0.780543025
636,38220,0.882976296,0.782973786
637,38280,0.885254554,0.784998898
638,38340,0.888293979,0.787241714
639,38400,0.890642457,0.790009744
640,38460,0.89258863,0.792950671
641,38520,0.895275256,0.796202948
642,38580,0.897008486,0.79891104
643,38640,0.899631822,0.801836125
644,38700,0.901320062,0.804735988
645,38760,0.903162627,0.807142927
646,38820,0.904584743,0.809657642
647,38880,0.905818012,0.811959078
648,38940,0.907619244,0.814781867
649,39000,0.909795257,0.817377183
650,39060,0.912092306,0.820258526
651,39120,0.914071752,0.822545925
652,39180,0.916343479,0.825331431
653,39240,0.919279261,0.82817599
654,39300,0.921717305,0.831068435
655,39360,0.924473639,0.833691054
656,39420,0.926745852,0.836179443
657,39480,0.928807892,0.838582812
658,39540,0.930668668,0.841156793
659,39600,0.933396988,0.844074759
660,39660,0.93557166,0.847309296
661,39720,0.937380471,0.850323649
662,39780,0.940086554,0.852564614
663,39840,0.941797468,0.855314486
664,39900,0.943536126,0.858497997
665,39960,0.945636823,0.861811826
666,40020,0.947775345,0.864473143
667,40080,0.950183197,0.866896549
668,40140,0.952580995,0.869077089
669,40200,0.955265122,0.871219543
670,40260,0.956841595,0.873290528
671,40320,0.958553912,0.875130331
672,40380,0.961269086,0.877552233
673,40440,0.963012061,0.880452666
674,40500,0.964601085,0.883042882
675,40560,0.965726854,0.885166967
676,40620,0.968202915,0.887295217
677,40680,0.970207291,0.889099204
678,40740,0.971970107,0.890773374
679,40800,0.974356965,0.892539487
680,40860,0.977685191,0.894792739
681,40920,0.979914745,0.896929331
682,40980,0.981834374,0.899628474
683,41040,0.982928358,0.901516892
684,41100,0.983907906,0.903782127
685,41160,0.985798868,0.906130651
686,41220,0.988223584,0.908012147
687,41280,0.990200874,0.909778677
688,41340,0.992231694,0.911233834
689,41400,0.994564562,0.913406662
690,41460,0.997216746,0.91530753
691,41520,0.999366219,0.917714978
692,41580,1.002471193,0.920593149
693,41640,1.004506882,0.922822459
694,41700,1.006527118,0.92555531
695,41760,1.009143121,0.927743446
696,41820,1.011829407,0.930266321
697,41880,1.01378417,0.932210747
698,41940,1.016132132,0.934825181
699,42000,1.018673143,0.937194263
700,42060,1.021202328,0.939090241
701,42120,1.023939674,0.940871051
702,42180,1.026668017,0.943262784
703,42240,1.028880878,0.945067447
704,42300,1.031362027,0.947234234
705,42360,1.033430542,0.948686546
706,42420,1.035155669,0.950360606
707,42480,1.038282471,0.951889393
708,42540,1.040375619,0.953229587
709,42600,1.042772482,0.954757489
710,42660,1.045356063,0.95646912
711,42720,1.045563058,0.957312744
712,42780,1.045846499,0.957997986
713,42840,1.047666731,0.959355688
714,42900,1.048955761,0.960692311
715,42960,1.050439418,0.962216999
716,43020,1.05158592,0.963862068
717,43080,1.053846164,0.965277357
718,43140,1.055605832,0.96657041
719,43200,1.058021928,0.967821454
720,43260,1.059511424,0.969052494
721,43320,1.061511524,0.970459257
722,43380,1.064165739,0.971939623
723,43440,1.0661263,0.973502438
724,43500,1.068035928,0.975278171
725,43560,1.070064844,0.976978497
726,43620,1.072898343,0.978740906
727,43680,1.074978059,0.980395258
728,43740,1.077529838,0.981904126
729,43800,1.079427347,0.983464954
730,43860,1.082215743,0.985167954
731,43920,1.084557602,0.986899239
732,43980,1.086805335,0.988572615
733,44040,1.089292822,0.990007034
734,44100,1.091199506,0.991786884
735,44160,1.093678873,0.993727034
736,44220,1.096195779,0.995955564
737,44280,1.099008583,0.998071636
738,44340,1.101045894,0.999964926
739,44400,1.103434691,1.00153121
740,44460,1.104945102,1.003322911
741,44520,1.106826501,1.004972668
742,44580,1.109533527,1.006486198
743,44640,1.111940268,1.00814558
744,44700,1.114085062,1.01019575
745,44760,1.115716795,1.012239432
746,44820,1.11773368,1.014047789
747,44880,1.119833529,1.016024888
748,44940,1.122419354,1.017753733
749,45000,1.124619721,1.019107959
750,45060,1.126937534,1.020891412
751,45120,1.128746656,1.022327358
752,45180,1.130911312,1.023697014
753,45240,1.132190247,1.025086548
754,45300,1.133444701,1.02628401
755,45360,1.134983358,1.02786025
756,45420,1.13696379,1.02949525
757,45480,1.139225907,1.031008017
758,45540,1.141123276,1.032553104
759,45600,1.14220896,1.033428212
760,45660,1.143471617,1.034594891
761,45720,1.145807869,1.036122472
762,45780,1.147473788,1.037213162
763,45840,1.148792938,1.037939913
764,45900,1.149494727,1.038818006
765,45960,1.149489872,1.039595647
766,46020,1.150214547,1.040490394
767,46080,1.150850135,1.041189561
768,46140,1.150857929,1.041817203
769,46200,1.150468535,1.042398477
770,46260,1.151868308,1.043474504
771,46320,1.153474827,1.044649478
772,46380,1.154941215,1.04546987
773,46440,1.156199741,1.046558307
774,46500,1.157206556,1.047683481
775,46560,1.157499286,1.048503236
776,46620,1.158579959,1.049430927
777,46680,1.159261523,1.050704093
778,46740,1.160499842,1.052031742
779,46800,1.162438758,1.053496693
780,46860,1.163997088,1.054555267
781,46920,1.164934857,1.055483034
782,46980,1.167230781,1.056666697
783,47040,1.169399385,1.057960858
784,47100,1.171234869,1.059161141
785,47160,1.172664733,1.060713103
786,47220,1.174812299,1.062318586
787,47280,1.176430156,1.063788724
788,47340,1.178784544,1.065083885
789,47400,1.180987764,1.066166565
790,47460,1.183362135,1.067741934
791,47520,1.185544274,1.069257765
792,47580,1.187854229,1.070516609
793,47640,1.191058141,1.072292094
794,47700,1.193836796,1.074188154
795,47760,1.19602967,1.075823731
796,47820,1.198578843,1.077272326
797,47880,1.201044343,1.078930987
798,47940,1.202875009,1.080213352
799,48000,1.205295203,1.081716383
800,48060,1.206899539,1.083165546
801,48120,1.208657027,1.084803367
802,48180,1.21136416,1.086446426
803,48240,1.212580405,1.087876779
804,48300,1.213071138,1.089078637
805,48360,1.214758726,1.090314618
806,48420,1.216686492,1.091689887
807,48480,1.217402898,1.092722924
808,48540,1.220102569,1.094000962
809,48600,1.221940073,1.095216426
810,48660,1.224079447,1.096883866
811,48720,1.226495961,1.098457333
812,48780,1.228983733,1.10006013
813,48840,1.232030455,1.101366677
814,48900,1.234317085,1.102900927
