,sec,median_accu_orders
0,0,0.0
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,0.0
12,12,0.0
13,13,0.0
14,14,0.0
15,15,0.0
16,16,0.0
17,17,0.0
18,18,0.0
19,19,0.0
20,20,0.0
21,21,0.0
22,22,0.0
23,23,0.0
24,24,0.0
25,25,0.0
26,26,0.0
27,27,0.0
28,28,0.0
29,29,0.0
30,30,0.0
31,31,0.0
32,32,0.0
33,33,0.0
34,34,0.0
35,35,0.0
36,36,0.0
37,37,0.0
38,38,0.0
39,39,0.0
40,40,0.0
41,41,0.0
42,42,0.0
43,43,0.0
44,44,0.0
45,45,0.0
46,46,0.0
47,47,0.0
48,48,0.0
49,49,0.0
50,50,0.0
51,51,0.0
52,52,0.0
53,53,0.0
54,54,0.0
55,55,0.0
56,56,0.0
57,57,0.0
58,58,0.0
59,59,0.0
60,60,0.0
61,61,0.0
62,62,0.0
63,63,0.0
64,64,0.0
65,65,0.0
66,66,0.0
67,67,0.0
68,68,0.0
69,69,0.0
70,70,0.0
71,71,0.0
72,72,0.0
73,73,0.0
74,74,0.0
75,75,0.0
76,76,0.0
77,77,0.0
78,78,0.0
79,79,0.0
80,80,0.0
81,81,0.0
82,82,0.0
83,83,0.0
84,84,0.0
85,85,0.0
86,86,0.0
87,87,0.0
88,88,0.0
89,89,0.0
90,90,0.0
91,91,0.0
92,92,0.0
93,93,0.0
94,94,0.0
95,95,0.0
96,96,0.0
97,97,0.0
98,98,0.0
99,99,0.0
100,100,0.0
101,101,0.0
102,102,0.0
103,103,0.0
104,104,0.0
105,105,0.0
106,106,0.0
107,107,0.0
108,108,0.0
109,109,0.0
110,110,0.0
111,111,0.0
112,112,0.0
113,113,0.0
114,114,0.0
115,115,0.0
116,116,0.0
117,117,0.0
118,118,0.0
119,119,0.0
120,120,0.0
121,121,0.0
122,122,0.0
123,123,0.0
124,124,0.0
125,125,0.0
126,126,0.0
127,127,0.0
128,128,0.0
129,129,0.0
130,130,0.0
131,131,0.0
132,132,0.0
133,133,0.0
134,134,0.0
135,135,0.0
136,136,0.0
137,137,0.0
138,138,0.0
139,139,0.0
140,140,0.0
141,141,0.0
142,142,0.0
143,143,0.0
144,144,0.0
145,145,0.0
146,146,0.0
147,147,0.0
148,148,0.0
149,149,0.0
150,150,0.0
151,151,0.0
152,152,0.0
153,153,0.0
154,154,0.0
155,155,0.0
156,156,0.0
157,157,0.0
158,158,0.0
159,159,0.0
160,160,0.0
161,161,0.0
162,162,0.0
163,163,0.0
164,164,1.564102564102564
165,165,10.141509433962264
166,166,12.390476190476189
167,167,12.638095238095238
168,168,14.03026125233313
169,169,14.293103448275861
170,170,16.15909090909091
171,171,17.265
172,172,19.846153846153847
173,173,19.939102564102562
174,174,20.365384615384617
175,175,20.791666666666664
176,176,21.73717948717949
177,177,25.52696078431373
178,178,26.88235294117647
179,179,30.128391686265385
180,180,30.134624494103765
181,181,31.621621621621625
182,182,33.5
183,183,34.14473684210526
184,184,35.11940298507463
185,185,34.85761979575805
186,186,35.37873134328358
187,187,36.13265306122449
188,188,38.0375
189,189,39.0125
190,190,41.33
191,191,42.94571428571429
192,192,45.21590909090909
193,193,46.01587301587301
194,194,46.72564935064935
195,195,51.44397759103641
196,196,54.61538461538461
197,197,56.21153846153847
198,198,56.629120879120876
199,199,57.07142857142856
200,200,63.69786096256684
201,201,64.46969696969697
202,202,67.49535603715171
203,203,69.2235294117647
204,204,70.32580645161289
205,205,71.45454545454547
206,206,72.71493212669684
207,207,74.03109656301146
208,208,74.88235294117646
209,209,75.70588235294117
210,210,75.96235294117648
211,211,77.37470588235294
212,212,79.77365728900256
213,213,80.95355731225297
214,214,81.72194135490395
215,215,83.6409090909091
216,216,84.11212121212121
217,217,85.07333333333332
218,218,85.25391304347826
219,219,86.33355140186916
220,220,86.75999999999999
221,221,86.95869565217392
222,222,92.375554796859
223,223,92.79403151582764
224,224,93.13844315466031
225,225,95.1896551724138
226,226,95.72727272727272
227,227,97.96153846153847
228,228,100.10857142857142
229,229,101.76041666666666
230,230,103.25986842105263
231,231,104.84210526315789
232,232,105.83059210526315
233,233,108.54736842105262
234,234,109.73684210526315
235,235,112.68181818181819
236,236,116.17207792207792
237,237,117.07142857142857
238,238,119.51139817629179
239,239,119.55775075987842
240,240,119.60410334346503
241,241,122.33333333333334
242,242,121.67361111111111
243,243,124.63636363636364
244,244,127.17857142857142
245,245,129.5
246,246,135.7469135802469
247,247,139.94444444444443
248,248,140.47222222222223
249,249,142.85416666666666
250,250,144.78196615977726
251,251,148.0
252,252,147.921568627451
253,253,150.9187675070028
254,254,153.2952961672474
255,255,157.05777310924367
256,256,160.48863636363637
257,257,161.81712962962962
258,258,164.23416666666668
259,259,166.15584415584414
260,260,168.23310023310023
261,261,169.22307692307692
262,262,170.57142857142856
263,263,172.22619047619045
264,264,173.64285714285714
265,265,175.06645212471287
266,266,176.421568627451
267,267,177.56941176470588
268,268,179.03058823529412
269,269,178.91176470588235
270,270,183.12702702702703
271,271,184.40378378378378
272,272,187.64
273,273,188.91000000000003
274,274,190.18
275,275,192.7
276,276,194.07142857142858
277,277,197.44
278,278,197.85693974272172
279,279,199.84872037914693
280,280,206.84529972752046
281,281,210.82274231218372
282,282,211.52875632541847
283,283,212.1331219870048
284,284,212.68769230769232
285,285,214.78846153846155
286,286,216.4220779220779
287,287,217.76142857142855
288,288,221.68421052631578
289,289,223.85000000000002
290,290,225.24242424242425
291,291,227.49342105263156
292,292,231.0686274509804
293,293,232.11764705882354
294,294,232.52941176470588
295,295,232.94117647058823
296,296,234.95053475935828
297,297,235.6595365418895
298,298,236.08823529411762
299,299,238.94285714285715
300,300,241.97916666666669
301,301,242.25
302,302,247.70186335403724
303,303,246.625
304,304,252.78743961352654
305,305,256.22581699346404
306,306,260.07864450127875
307,307,264.6434782608696
308,308,265.4
309,309,266.92972972972973
310,310,271.0
311,311,277.5369962846712
312,312,278.2416092018091
313,313,280.68
314,314,281.34
315,315,282.56962025316454
316,316,285.6521739130435
317,317,286.85326086956525
318,318,288.054347826087
319,319,289.2554347826087
320,320,291.70175438596493
321,321,299.45617383152535
322,322,300.15
323,323,303.61920449979914
324,324,304.02692307692314
325,325,304.23461538461544
326,326,304.44230769230774
327,327,306.8928571428571
328,328,307.21428571428567
329,329,310.42857142857144
330,330,314.4571428571428
331,331,315.0142857142857
332,332,320.7857142857143
333,333,327.41666666666663
334,334,327.8928571428571
335,335,331.61330049261085
336,336,329.8333333333333
337,337,340.31666666666666
338,338,336.78771929824563
339,339,343.5
340,340,354.625
341,341,356.0
342,342,366.35714285714283
343,343,369.04285714285714
344,344,373.1928571428571
345,345,375.0393772893773
346,346,375.63846153846157
347,347,376.69230769230774
348,348,377.6177419354839
349,349,378.925
350,350,381.3330870774282
351,351,382.20000000000005
352,352,383.5684210526316
353,353,386.0676732035133
354,354,388.1467457718575
355,355,389.059151673535
356,356,391.35
357,357,396.59090909090907
358,358,397.9090909090909
359,359,399.22727272727275
360,360,402.16310160427804
361,361,403.8251748251748
362,362,404.83566433566443
363,363,406.19615384615383
364,364,408.425
365,365,413.5
366,366,414.0909090909091
367,367,420.1184379001281
368,368,416.4393939393939
369,369,426.39784946236557
370,370,424.15129486597004
371,371,424.28736937755565
372,372,424.4234438891413
373,373,424.559518400727
374,374,428.3763440860215
375,375,429.89426523297493
376,376,430.5
377,377,435.75
378,378,443.5
379,379,448.32608695652175
380,380,449.45901639344265
381,381,450.9887716146418
382,382,453.6
383,383,455.4666666666667
384,384,460.3333333333333
385,385,462.2631578947368
386,386,467.7142857142857
387,387,469.09999999999997
388,388,472.8357142857143
389,389,473.85714285714283
390,390,472.2142857142857
391,391,473.6928571428571
392,392,475.1714285714286
393,393,475.5
394,394,480.70000000000005
395,395,487.23654199073667
396,396,489.30000000000007
397,397,492.45000000000005
398,398,497.3
399,399,504.0
400,400,508.29069767441865
401,401,511.57142857142856
402,402,512.6904761904761
403,403,517.3352610892757
404,404,520.854347826087
405,405,522.7360841872057
406,406,523.4211852454162
407,407,523.5045800645476
408,408,524.151804670913
409,409,529.0380952380953
410,410,534.8758620689655
411,411,535.503448275862
412,412,545.4310344827586
413,413,549.3
414,414,559.1625
415,415,561.6556818181818
416,416,562.7967171717171
417,417,562.9488636363637
418,418,567.8454545454545
419,419,571.5
420,420,574.3709677419355
421,421,575.2870967741935
422,422,577.4880155117964
423,423,578.8996261378413
424,424,580.7445700972196
425,425,578.1228473899313
426,426,585.0300681959083
427,427,585.928486452975
428,428,586.7687687687688
429,429,586.9474474474475
430,430,587.1261261261261
431,431,587.3048048048048
432,432,587.4834834834835
433,433,592.5572916666666
434,434,592.7708333333333
435,435,592.9867559523809
436,436,593.2026785714286
437,437,593.4186011904762
438,438,594.2916666666666
439,439,596.921875
440,440,601.3298611111111
441,441,607.6969696969697
442,442,607.7979797979797
443,443,609.9569377990429
444,444,622.5972222222222
445,445,624.6944444444443
446,446,635.7916666666666
447,447,636.7854406130268
448,448,636.8999042145593
449,449,637.0143678160919
450,450,637.1288314176245
451,451,637.243295019157
452,452,644.316091954023
453,453,644.4166666666666
454,454,644.5882352941177
455,455,644.7598039215686
456,456,653.4722222222222
457,457,653.6944444444443
458,458,653.9166666666667
459,459,654.1388888888889
460,460,654.3611111111111
461,461,654.5833333333334
462,462,657.9260578583765
463,463,658.1713082901554
464,464,657.939465408805
465,465,659.2020440251572
466,466,660.4646226415095
467,467,661.3705673758865
468,468,661.985815602837
469,469,662.5
470,470,662.6666666666666
471,471,662.8333333333333
472,472,663.3333333333333
473,473,664.9475524475524
474,474,666.5617715617716
475,475,668.1759906759908
476,476,669.7283142389525
477,477,670.9653573376977
478,478,672.202400436443
479,479,673.4394435351883
480,480,674.6764866339335
481,481,675.9135297326786
482,482,677.1505728314239
483,483,676.3
484,484,679.2333333333333
485,485,682.0283687943262
486,486,689.8936170212766
487,487,694.9465558194775
488,488,699.1923990498813
489,489,703.4382422802851
490,490,699.6840855106889
491,491,703.7632620744259
492,492,705.2940515413889
493,493,709.4354838709678
494,494,710.1501240694789
495,495,710.86476426799
496,496,720.6
497,497,729.2125
498,498,729.6000000000001
499,499,729.9875000000001
500,500,730.375
501,501,730.7625
502,502,731.15
503,503,731.5375
504,504,735.925
505,505,736.6791666666667
506,506,737.4333333333334
507,507,738.1875
508,508,738.9416666666666
509,509,739.5684079601989
510,510,740.044776119403
511,511,740.5211442786069
512,512,743.2891791044776
513,513,743.6863805970149
514,514,743.802812858783
515,515,743.8817451205512
516,516,743.9606773823191
517,517,746.3894230769231
518,518,746.7461538461538
519,519,748.4875000000001
520,520,753.575
521,521,763.65
522,522,764.475
523,523,776.5083841463414
524,524,776.9131097560976
525,525,777.3178353658537
526,526,780.3860225140713
527,527,780.5431519699814
